st,type 
what can I say ;),whQuestion
lmao,Other
i can imagine,Statement
question number 1: do you like to play with Dolls,ynQuestion
JOIN,Other
PART,Other
:-) hello all,Other
lol,Other
you need naked?,ynQuestion
JOIN,Other
i know 11-09-20sUser89,Statement
hmm maybe,Statement
Chris,Statement
.ACTION builds afire.,Other
10-19-30sUser43,Other
.ACTION straightens my nightie t-shirt.,Other
euphamisms.....,Statement
hiya 11-09-40sUser7,Other
hii 10-24-40sUser37,Other
hey kent whered u go,Other
i don't wanna,Other
im good...me and eric r back together,Statement
huh?,whQuestion
in Iowa,Statement
PART,Other
lmao,Other
hey 11-08-40sUser36,Other
lol,Other
lol,Other
Do you approve of their attitude?,ynQuestion
go boy,Statement
oh and underwear,Statement
hi 10-24-40sUser44!,Other
every nite i pray i hope that u will stay,Statement
howdy 10-24-40sUser36,Other
"I hate you, 11-09-teensUser122.",Statement
luvs San Diego.. sighs,Statement
Hi 11-08-adultsUser24,Other
JOIN,Other
>.>,Other
.ACTION stretches out on the couch and sighs happily.,Other
"11-09-20sUser145, I'd appreciate it if you'd stay out of my PM",Statement
hi 10-24-40sUser20,Other
MY DELIGHTFUL MISHAP!,Other
"Welcome, 11-08-teensUser114! ",Other
free your bosom,Statement
thats when i have to be in work ,Statement
where is elle?,whQuestion
damn straight ,Other
hey 11-08-teensUser29,Other
hi,Other
geeshh... two kids fighting!,Other
PART,Other
oh no 10-19-30sUser19 are you from texas?,ynQuestion
does that make you a redneck?,ynQuestion
JOIN,Other
Any Midwest Ladies Care To Chat,ynQuestion
10-19-40sUser13....im down to time now,Statement
still here 11-06-adultsUser35?,ynQuestion
not t,Other
or too smart,Other
.ACTION licks 10-19-adultsUser32.,Other
46/f/maine,Statement
10-19-20sUser116,Statement
yep,Other
awww you actualy did,Statement
i cant get pussy,Statement
and theyd all wear sunglasses to work,Statement
lol 10-24-40sUser41,Other
nm really,Statement
yea well nobody is gonna bring back my ex who died and those pills cost too much,Statement
hi 10-19-40sUser52 hugs,Other
right.,Other
why not move the tv or computor into the same room 11-09-teensUser117?,whQuestion
why?,whQuestion
lol 10-19-40sUser3,Other
Where does Natasha live?,whQuestion
does anybody wanna tok,ynQuestion
Hello lovelies,Other
did 10-24-40sUser19 just call me gay?,ynQuestion
lol,Other
what about you .....what is your fascination with the Russion Space Ships?,whQuestion
I've just decided that.,Statement
Should they stop?,ynQuestion
any ladies want chat/single/man/35/New York can pm me,Statement
hi 10-24-40sUser39 and 10-24-40sUser40,Other
o cool,Other
no kidding if we be dumb asses they wont chat with ya,Statement
No,Other
PART,Other
PART,Other
dude 10-19-20sUser92 gets around,Statement
JOIN,Other
hb 11-09-adultsUser0,Other
PART,Other
"Sure, 11-09-adultsUser16.... ",Other
go DETROIT,Statement
hi 11-08-40sUser41,Other
JOIN,Other
"awesome 10-19-40sUser46, whatcha doin?",whQuestion
too many now,Statement
and,Other
JOIN,Other
AHAHH,Other
Is it snowing,ynQuestion
your home; watch out so as not to spark a crisis..,Other
"11-06-adultsUser105, 11-06-adultsUser42 tried to tell us she was innocent",Statement
im a girl im if im on my kness she has to be on her elbows.. ,Statement
hah,Other
u never know with him 10-19-40sUser52,Statement
JOIN,Other
well then 10-19-adultsUser47 wont talk to me if she only talks to the kool ppl cus I'm a retared moron,Statement
PART,Other
i   get all ur  money now fawker,Statement
for say hello,Statement
JOIN,Other
lol,Other
.ACTION wants to see 11-06-adultsUser45 naked.,Other
wb 10-19-40sUser29,Other
PART,Other
........... you are 11-08-40sUser48 is that a good thing or not? LOL,ynQuestion
guys,Other
its the thought that counts 11-08-20sUser31,Statement
wb 11-09-40sUser7,Other
"yeah, he is sorta like that isn't he?",ynQuestion
11-09-40sUser47  the houses there are unreal,Statement
10-19-40sUser49,Other
lol 10-19-20sUser115,Other
JOIN,Other
PART,Other
piff i aint tellin you,Other
any one got myspace,ynQuestion
"well i would disagree with that ..but hey, your entitled lol ",Statement
ughhh,Other
JOIN,Other
fuck a virgin..hmmm,Statement
JOIN,Other
hiya 11-08-adultsUser92 honey *smewchies*,Other
JOIN,Other
Welcome  back 11-06-adultsUser19,Other
JOIN,Other
lmao 10-24-40sUser41,Other
me too 10-19-adultsUser35,Statement
It's sad I know,Statement
Ohio anybody???,ynQuestion
awesomee,Statement
fabric softner can cause rashes . and allergies ,Statement
NICK :11-09-20sUser87,Other
10-24-40sUser21 may i pm yu,ynQuestion
omg 10-19-adultsUser28 !!!   whoaaaaaaaaaaaa,Other
PART,Other
JOIN,Other
Hey 11-09-20sUser144,Other
PART,Other
JOIN,Other
PART,Other
possibly,Statement
I am convinced yoko hired that guy to shoot john,Statement
Has the party started?,ynQuestion
you wish,Other
"Yeah, I've got a whole ""perfectionist"" thing going on",Other
"I am cold, yes. .Why?",Other
dead roses ....lol,Statement
hi ppl,Other
hey 10-19-40sUser16,Other
who is gay?,whQuestion
what took forever...the crap?,whQuestion
:10-19-adultsUser3!10-19-adultsUser3@10-19-adultsUser3 MODE #talkcity_adults +o 10-19-adultsUser15,Other
she's not answering her pms??,ynQuestion
"hi 10-19-30sUser37, yes i sleep",Other
Whose books are these?,whQuestion
PART,Other
do u,Other
beckley,Statement
any hot guys wana talk,ynQuestion
JOIN,Other
congrat... 10-19-40sUser46,Statement
elo elo,Other
11-08-20sUser114..the pope..is ..lol,Statement
bbiam,Other
hahahaHA,Other
Greetings 10-19-40sUser27,Other
ok,Other
Looking Through Patient Eyes.....PM Dawn   (last song of the evening-LIVE),Statement
who r u 11-06-adultsUser37?,whQuestion
oh,Statement
JOIN,Other
 but missin da dawg,Other
What other departments have been most useful in providing information or helping with problems?,whQuestion
<is a smoker,Statement
make sure u buy a nice ring for 10-19-20sUser6,Statement
"omg, that is just wrong",Statement
">>>>>>>>>>>19,m,pa",Statement
HAHA cute nic there 1 smallfry ,Statement
LoL 11-09-20sUser34!,Other
lol,Other
PART,Other
and,Other
I never freak out. .BUt I can if you want me to =),Other
awww see ya 10-19-30sUser25 have a good one ,Other
.ACTION wears 100% cotton ... nm.,Other
:10-26-teensUser54!10-26-teensUser54@10-26-teensUser54 MODE #14-19teens +o 10-26-teensUser54,Other
controllers*,Other
love the playstation!,Other
 :-) ,Other
PART,Other
you coudl write me a poem 11-08-teensUser128,Statement
getting the obbts off just got home from work great night LOL ,Statement
ohh,Statement
11-06-adultsUser53!!,Other
hi,Other
tc 11-06-adultsUser1,Other
even more ? ,ynQuestion
PART,Other
lol 11-09-40sUser18,Other
10-19-30sUser11 lol,Other
hi,Other
PART,Other
PART,Other
JOIN,Other
h.s,Statement
.ACTION counter pokes.,Other
little boy,Statement
i can't wait until 7am,Statement
how are u doing?,whQuestion
 :blush: ,Other
bc you want me Joshy,Statement
hiYas 10-19-adultsUser58,Other
26/m/cal,Statement
anyone else from tennesee here,ynQuestion
JOIN,Other
lol,Other
Barbieee.,Other
lol lol ,Other
okies I'm off,Other
i say leave 10-19-40sUser7,Statement
guys are idiots.,Statement
are you tere,ynQuestion
any bi or gay guys here,ynQuestion
hi 10-24-40sUser34,Other
game fly,Statement
<< not American,Statement
.ACTION looks for some trout.,Other
JOIN,Other
hi 11-09-40sUser7,Other
wont do it again.. ,Statement
amen 10-19-40sUser32 :) ,Other
an old lady whos been beaten up for her pension book!,Other
pfft,Other
PART,Other
"10-24-40sUser50, as an elected official of this room, that means ya gotta work for your constituents....demand 10-24-40sUser52 to accept my hand in lust",Statement
...prolly not...,Other
lmao 10-19-30sUser17... dman,Other
*poof*,Other
oh yea i member now,Statement
.ACTION cougs .,Other
.ACTION sighs.,Other
hey,Other
same,Statement
lol,Other
PART,Other
im here to find victims...,Statement
bye 10-24-40sUser13,Other
lol your done with it?,ynQuestion
giggles,Other
"She's smarter then me, 11-06-adultsUser19, lol",Statement
26/m,Statement
Does it rain here?,ynQuestion
tks 11-08-40sUser7,Statement
i've got the scuba gear on and going for gold,Statement
JOIN,Other
10-19-adultsUser32 guess who was here the other night?,whQuestion
what am I missing 11-09-40sUser18?,whQuestion
you cant dis a tryer,Statement
i agree wtf is they talking about,whQuestion
lol,Other
yess,Other
"11-08-adultsUser30, do I sit in here and complain how bad my life sucks and stuff?  I'm on antidepressants now, and I brought up the topic.  Sorry.",Statement
19/f/ca...asl??,whQuestion
JOIN,Other
Thank u 10-19-30sUser31.,Statement
Hi 11-08-40sUser47,Other
lol,Other
nite 10-19-30sUser15,Other
JOIN,Other
11-09-teensUser35 - Tisk Tisk.,Statement
lol 11-09-adultsUser27 i just downloaded that to my ringtones last night,Statement
where are you from 10-19-adultsUser35,whQuestion
PART,Other
11-08-40sUser30,Statement
10-19-40sUser35...I'm a nice guy in real life...             I wanna be a bandito in chatland...but I gotta play nice...  :tongue: ,Statement
calls 10-19-20sUser30,Statement
waddup,Other
guess not... lol,Other
night 10-19-30sUser9,Other
Any women from Nashville in here?,ynQuestion
11-09-20sUser156 ill love you,Statement
<<<<not raymond,Statement
lol,Other
JOIN,Other
hold me.....lol,Other
hi 10-19-30sUser9,Other
r u a teacher 10-19-40sUser11 ?,ynQuestion
JOIN,Other
hey 10-19-30sUser27... welcome,Other
cutting  wood to build his new outhouse lol ,Statement
are there any girls up for it in this room!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,ynQuestion
.ACTION sighs at pm.....shakes head....,Other
PART,Other
hiya 10-19-40sUser30,Other
  yawns......,Other
11-08-20sUser196 (11-08-20sUser196@11-08-20sUser196) Last seen: 47 minutes ago.,Other
21 and a virgin. thats sad,Statement
somebody type perving?,ynQuestion
yes 10-24-40sUser19 ,Other
JOIN,Other
umm what 1 month ago 11-08-20sUser110?,whQuestion
Added 10-26-teensUser54 (*!10-26-teensUser54@10-26-teensUser54) as an .op. for #14-19teens. (10-26-teensUser96),Other
JOIN,Other
PART,Other
lol,Other
Hi 11-09-40sUser50 ,Other
Did you ever find it necessary to go beyond them?,ynQuestion
packs of ciggareets,Other
aww.,Other
i am a virgin that is a joke,Statement
Oh!,Other
hi 11-08-40sUser31,Other
fkajslf,Other
11-09-40sUser18 .. or 11-09-40sUser18?,Statement
yes....,Other
Do you plan on traveling this summer?,ynQuestion
11-09-40sUser18 hi,Other
11-08-adultsUser108.. this ain't your room.,Other
how's you 11-06-adultsUser130?,whQuestion
How can you explain this problem?,whQuestion
BYE,Other
any ladies care to chat,ynQuestion
moans for no reason,Other
bye 11-06-adultsUser1 ,Other
PART,Other
.ACTION kisses 10-19-20sUser68.,Other
PART,Other
right 11-08-40sUser55,Other
lmao 11-08-20sUser18,Other
and pigs fly,Statement
queen of da doublewide redneck,Statement
hey there asl please?,whQuestion
and u r dead,Other
scrollin' ....scrollin'.....scrollin'................keep them words a rollin'........................CHATHIDE!!!!!!!!!!!!!!!!!!!!!!,Other
howdy 10-24-40sUser34,Other
Whose pencil is this?,whQuestion
PART,Other
lol 11-08-20sUser90,Other
JOIN,Other
walderslade,Statement
females pm me,Statement
"yeah he told me, he finally called me last night, haven't talked to him in almost a week",Statement
you sick shit...,Other
10-19-40sUser53,Other
it is raining 10-19-30sUser37,Statement
i'd never leave you alone 10-19-adultsUser35.. if i had a choice :),Statement
JOIN,Other
heya 11-08-40sUser7!,Other
lol 10-19-30sUser19,Other
PART,Other
Heyy everyone,Other
PART,Other
JOIN,Other
this room is bluer than my balls,Statement
PART,Other
any word from the doctor regarding the sores on your lip 10-19-adultsUser39?,ynQuestion
.ACTION checks sumpin.,Other
PART,Other
lol right there 10-19-30sUser28 lol ,Other
i'll need the right drugs to clear up your infection,Statement
really 11-08-adultsUser35? Why?,whQuestion
eww,Other
10-26-teensUser119.,Statement
any females want to chat with norny guy pm me,Other
 & 11-08-40sUser28,Other
hey 10-19-40sUser33,Other
.ACTION back to lurkin.,Other
Where’s the coffee bar?,whQuestion
 boy,Other
JOIN,Other
legpain,Statement
PART,Other
that involves havin a good day. later,Other
PART,Other
uyes?,ynQuestion
it should,Other
PART,Other
whud up room,Other
anyone girls here over 18 wanna chat?,ynQuestion
How was your mother?,whQuestion
hey 11-08-adultsUser108... wrong room ,Other
hi guys!,Other
hmmm,Statement
PART,Other
hi 10-19-20sUser59,Other
whats the obsession with people wanting to freaking cyber,whQuestion
white lies.,Statement
how long have you been taking it 11-08-adultsUser56?,whQuestion
I wanna watch football.,Statement
(((((((((( 10-19-adultsUser28 ))))))))))))),Other
Why do you think that he loves you?,whQuestion
Meep,Statement
11-06-adultsUser1 are you a voter?,ynQuestion
no shes not,Other
hi 11-08-40sUser37 ,Other
.ACTION chokes.,Other
wb 11-08-40sUser35...,Other
What was the best decision you ever made? What were the alternatives?,whQuestion
 (((((((((((((((((((((((((11-08-40sUser65)))))))))))),Other
PART,Other
13!!!!!!!!!!!,Other
I see,Statement
PART,Other
JOIN,Other
u twizted bro,Statement
hi 10-24-40sUser14 hugss,Other
.ACTION is listening to .Whitesnake - Slide It In. ...,Other
wb 11-08-40sUser47,Other
hehe 10-19-adultsUser16 :),Other
JOIN,Other
PART,Other
gay as in happy 10-24-40sUser41 lol lol ,Statement
PART,Other
JOIN,Other
who did?,whQuestion
PART,Other
wtf is this talk about elbows & knees!???,whQuestion
yes it night!!!!,Other
CHOCO CHOCO,Other
JOIN,Other
JOIN,Other
laffs at 11-09-40sUser31,Statement
any uk girls here TYPR 100,ynQuestion
PART,Other
i had that song stuck in my head today,Statement
"Sorry to hear that, 10-19-40sUser52....  My sympathies to you and your family..",Statement
aw thanks11-06-adultsUser105:),Other
hell yeah,Other
yeah 10-19-40sUser16,Other
howdy 10-24-40sUser35,Other
hi 10-19-40sUser26,Other
.ACTION this song has been played .13 0 times.. .this song lasts43. minutes/seconds. it's my Music.,Other
.ACTION just thinks his # was up.,Other
PART,Other
 .Dew Point. 29.88.in/1012.hPa  .Ceiling:. Unlimited,Other
do  your boobs  hang  low  do they  ,ynQuestion
hey peoples dont send me a pm unless i say u can plz,Statement
say never never land,Statement
wb 11-08-40sUser28,Other
how are you 11-06-adultsUser129?,whQuestion
What time does the bank open?,whQuestion
hi 10-24-40sUser42,Other
JOIN,Other
hiya 10-24-40sUser33,Other
wb 11-06-adultsUser37,Other
hugsssssssss,Other
soup 11-09-adultsUser54,Statement
PART,Other
ugh.,Other
"i dont like you 10-19-adultsUser28, go play with your meat",Other
heyheyhey,Other
lol,Other
nm,Statement
<burp>,Statement
anyone in or near maryland?,ynQuestion
single white male 26,Statement
Hahhaa.,Other
10-19-20sUser6,Statement
hehehe,Other
aw thanksss,Statement
my cousin drew a messed up pic on my cast,Statement
!op,Other
geeshhh,Other
yeah i'm a single parent,Other
.ACTION watches as 11-09-20sUser89 kisses 11-09-20sUser114 my baby so passionately that the channel shoots a scintillating beam of magical energy!.,Other
"wb 10-24-40sUser37 ,,",Other
Where do you live?,whQuestion
PART,Other
i hate it when my devotion to christianity is questioned.,Statement
